Temperature (Celsius),Precipitation (mm),Soil pH,Climate Zone,Input Expenses (Currency),Output Prices (Currency),Recommended Product
22.49080237694725,18.513292883861965,5.177675576811577,Arctic,3505.2894066247804,8965.31514185328,Potatoes
34.01428612819832,54.190094737835814,5.111404595823999,Tropical,2113.882915710209,9906.20798727731,Corn
29.6398788362281,87.29458358764083,8.078145612344665,Tropical,4411.927981322366,9662.44461794901,Potatoes
26.973169683940732,73.22248864095612,5.122957899322778,Arctic,4713.534022545229,9669.329714231244,Corn
18.12037280884873,80.65611478614497,5.223773767578839,Temperate,4985.593174716221,7011.118674235562,Corn
18.119890406724053,65.87833667107174,7.417292180880837,Arctic,4184.029609709133,7343.9494025339545,Corn
16.161672243363988,69.22765645178525,6.02382929102743,Arctic,4014.936281712018,8528.176981844908,Corn
32.3235229154987,84.91956515653193,7.495197506298315,Temperate,1862.0030354702042,9610.95964025642,Corn
27.022300234864176,24.966800885918595,4.294147709039733,Arctic,2344.0282359604353,5709.971296760423,Soybeans
29.16145155592091,48.942496364314046,6.194070371530229,Arctic,2862.730167049118,6521.209319135979,Potatoes
15.411689885916049,22.120944181960223,4.151261200824772,Arctic,4093.5241911289986,5696.234222970547,Soybeans
34.39819704323989,98.7668007996647,4.281939415549095,Temperate,4659.863460311874,8060.042649797277,Soybeans
31.648852816008436,94.40593396866133,8.07896854004985,Tropical,1756.5564000919385,6531.504984437688,Wheat
19.246782213565524,3.94268113685059,4.626604170029179,Tropical,4689.469938680411,6630.539262562867,Wheat
18.636499344142013,70.55751725156884,6.395893070238477,Temperate,3782.4986094162323,5354.5797974398965,Wheat
18.668090197068675,92.52483174156659,5.84993021170318,Tropical,3443.0829227401546,6748.980309037959,Rice
21.084844859190753,18.057534512733355,5.563044968164792,Arctic,1799.365085127758,9312.482537007927,Wheat
25.495128632644757,56.79452305526295,8.049250055592726,Tropical,1222.1001312366022,6165.364059454175,Potatoes
23.638900372842315,91.54882975880419,4.098205285489703,Arctic,3273.8595940317596,8475.937331050329,Soybeans
20.824582803960837,3.394597858579884,6.98705358779015,Tropical,3606.06273331557,8148.141724692963,Potatoes
27.237057894447588,69.742026724684,8.335274953960976,Temperate,1843.1257974187529,9317.423041845577,Wheat
17.789877213040835,29.734900737255078,6.520756825578289,Tropical,3225.8248233018257,5661.4397382551915,Rice
20.842892970704362,92.43961953765304,8.215701079148914,Tropical,4425.9736110502945,9887.949801725215,Rice
22.327236865873836,97.10582451653677,4.235160456787107,Tropical,4340.26378182008,7913.1432302018275,Soybeans
24.12139968434072,94.42664891134339,5.884569935833726,Temperate,4709.420722345189,9977.370761734071,Potatoes
30.703519227860273,47.42142166574638,5.17071005932923,Tropical,2463.5432382275217,9557.573629329254,Corn
18.993475643167194,86.20426509893134,7.288694342413284,Temperate,2272.198290203675,6107.586360565529,Potatoes
25.284688768272233,84.45493985350704,8.41583690723761,Arctic,3997.7040239232347,5280.810049516565,Wheat
26.848291377240848,31.910047324325564,5.154385280999115,Tropical,2724.44962038802,6278.195468976808,Corn
15.929008254399955,82.89154741506773,6.943785706633335,Temperate,1350.1946561111224,7637.818244997099,Rice
27.150897038028766,3.700763471549262,4.891439347418831,Temperate,2131.204522681999,5857.98183532595,Soybeans
18.41048247374583,59.6269878482053,6.543986145572244,Tropical,2674.3291421259564,5837.298722589942,Soybeans
16.30103185970559,23.000883728770305,6.087696190097513,Arctic,2170.0657019050077,7312.967735525765,Rice
